Giornata;Casa;Trasferta;GolCasa;GolTrasferta;Data;Risultato;Note;Tavolino;Squadra penalizzata
1;BOT & BALL;Out Of Office FC;4;6;;;;;
1;Auriga Juniors;FC Stealthy Dribblers;4;2;;;;;
2;Out Of Office FC;FC Stealthy Dribblers;4;4;;;;;
2;BOT & BALL;BlackJack;3;3;;;;;
3;BlackJack;Auriga Juniors;5;4;;;;;
3;FC Stealthy Dribblers;BOT & BALL;6;2;;;;;
4;FC Stealthy Dribblers;BlackJack;1;1;;;;;
4;Auriga Juniors;Out Of Office FC;5;3;;;;;
5;BOT & BALL;Auriga Juniors;3;1;;;;;
5;BlackJack;Out Of Office FC;6;4;;;;;
6;Out Of Office FC;BOT & BALL;4;5;;;;;
6;FC Stealthy Dribblers;Auriga Juniors;4;6;;;;;
7;BlackJack;BOT & BALL;4;6;;;;;
7;FC Stealthy Dribblers;Out Of Office FC;2;4;;;;;
9;Out Of Office FC;Auriga Juniors;8;2;;;;;
9;BlackJack;FC Stealthy Dribblers;3;0;;;;;
10;Auriga Juniors;BOT & BALL;9;0;;;;;
10;Out Of Office FC;BlackJack;6;5;;;;;
8;Auriga Juniors;BlackJack;4;2;;4 - 2;Riposa: Out Of Office FC;;
8;BOT & BALL;FC Stealthy Dribblers;1;3;;1 - 3;Marcatori: Camposeo, Menolascina x2, Grippa | MVP: Menolascina;;
